,#Rank,University,Town
766,767,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Jodhpur
767,768,Arka Jain University,Gamharia
768,769,MIT University,Shillong
769,770,Haridwar University,Roorkee
770,771,Sankalchand Patel University,Visnagar
771,772,Jagadguru Rambhadracharya Handicapped University,Chitrakoot
772,773,Ras Bihari Bose Subharti University,Dehradun
773,774,Nehru Gram Bharati Vishwavidyalaya,Allahabad
774,775,Kameshwar Singh Darbhanga Sanskrit University,Darbhanga
775,776,"Maharashtra National Law University, Aurangabad",Aurangabad
776,777,Baba Ghulam Shah Badhshah University,Rajouri
777,778,"ICFAI University, Jaipur",Jaipur
778,779,Sri Satya Sai University of Technology and Medical Sciences,Sehore
779,780,Utkal University of Culture,Bhubaneswar
780,781,Sri Konda Laxman Telangana State Horticultural University,Hyderabad
781,782,Arni University,Kathgarh
782,783,Baddi University of Emerging Sciences and Technologies,Baddi
783,784,Sanjay Ghodawat University,Kolhapur
784,785,Uttarakhand Sanskrit University,Haridwar
785,786,JSS Science and Technology University,Mysore
786,787,Pratap University,Jaipur
787,788,Dr. A.P.J Abdul Kalam University,Indore
788,789,National Sports University,Imphal
789,790,Geetanjali University,Udaipur
790,791,Sarala Birla University,Ranchi
791,792,PDM University,Bahadurgarh
792,793,Sanchi University of Buddhist-Indic Studies,Sanchi
793,794,Oriental University,Indore
794,795,Atal Bihari Vajpayee Hindi Vishwavidyalaya,Bhopal
795,796,Guru Kashi University,Talwandi Sabo
796,797,KSGH Music and Performing Arts University,Mysore
797,798,Shridhar University,Pilani
798,799,Shri Jagannath Sanskrit Vishvavidyalaya,Puri
799,800,Jagan Nath University,Jhajjar
800,801,Swami Vivekanand University,Sagar
801,802,North East Frontier Technical University,Aalo
802,803,Sri Venkateswara Vedic University,Tirupati
803,804,Adesh University,Bathinda
804,805,"ICFAI University, Raipur",Durg
805,806,Indrashil University,Rajpur
806,807,University of Patanjali,Haridwar
807,808,Rajiv Gandhi National Aviation University,Raebareli
808,809,"Maharishi Markandeshwar University, Solan",Solan ...
809,810,Assam Women's University,Jorhat
810,811,Eternal University,Baru Sahib
811,812,Institute of Advanced Research,Gandhinagar
812,813,MVN University,Palwal
813,814,Kumar Bhaskar Varma Sanskrit and Ancient Studies University,Nalbari
814,815,Rama Devi Women's University,Bhubaneswar
815,816,IIMT University,Meerut
816,817,NIILM University,Kaithal
817,818,Arunodaya University,Itanagar
818,819,Apex University,Jaipur
819,820,Sant Baba Bhag Singh University,Jalandhar
820,821,Kushabhau Thakre Patrakarita Avam Jansanchar University,Raipur
821,822,Raffles University,Neemrana
822,823,Tantia University,Sri Ganganagar
823,824,"National Institute of Pharmaceutical Education and Research, Hajipur",Hajipur
824,825,Malwanchal University,Indore
825,826,TeamLease Skills University,Tarsali
826,827,Jharkhand Raksha Shakti University,Ranchi
827,828,Sri Devaraj Urs Academy of Higher Education and Research,Kolar
828,829,Starex University,Gurgaon
829,830,Bhupal Nobles University,Udaipur
830,831,BAHRA University,Waknaghat ...
831,832,Sarvepalli Radhakrishnan University,Bhopal
832,833,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Nagpur
833,834,Manav Bharti University,Solan
834,835,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Nagaon
835,836,Sabarmati University,Ahmedabad
836,837,G.H. Raisoni University,Saikheda
837,838,St. Joseph University,Dimapur
838,839,Pragyan International University,Ranchi
839,840,Sri Sai University,Palampur
840,841,"Uttarakhand Aawasiya Vishwavidyalaya, Almora",Almora
841,842,YBN University,Ranchi
842,843,Apex Professional University,Pasighat
843,844,Swarnim Startup and Innovation University,Gandhinagar
844,845,"Maharishi Markandeshwar University, Sadopur",Ambala
845,846,Shri Jagdishprasad Jhabrmal Tibrewala University,Jhunjhunu
846,847,Maharaja Agrasen University,Baddi
847,848,Guru Ravidas Ayurved University,Hoshiarpur
848,849,"William Carey University, Shillong",Shillong
849,850,Bareilly International University,Bareilly
850,851,"ICFAI University, Sikkim",Gangtok
851,852,"ICFAI University, Mizoram",Aizawl
852,853,"SRM University, Sikkim",Gangtok
853,854,"ICFAI University, Himachal Pradesh",Baddi
854,855,"ICFAI University, Nagaland",Dimapur
855,856,"ICFAI University, Meghalaya",Tura
856,857,Karnataka State Rural Development and Panchayat Raj University,Gadag
857,858,Dr YSR Architecture and Fine Arts University,Kadapa
858,859,C.U. Shah University,Wadhwan
859,860,Sai Nath University,Ranchi
860,861,Haridev Joshi University of Journalism and Mass Communication,Jaipur
861,862,Karnataka Janapada Vishwavidyalaya,Shiggaon
862,863,Sri Guru Ram Das University of Health Sciences,Qila Jiwan Singh
863,864,"Maharishi Arvind University, Jaipur",Mundiya Purohitan
864,865,Rai Technology University,Doddaballapura
865,866,Jaypee University Anoopshahr,Anupshahr
866,867,Plastindia International University,Vapi
867,868,P.K. University,Village Thanara
868,869,Tamil Nadu Dr.J Jayalalithaa Music and Fine Arts University,Chennai
869,870,Vinayaka Missions Sikkim University,Gangtok
870,871,Murshidabad University,Murshidabad
871,872,K.K. University,Biharsharif
872,873,Akal University,Bathinda
873,874,Indus International University,Bathu
874,875,Manipur University of Culture,Imphal
875,876,"Maulana Azad University, Jodhpur",Jodhpur
876,877,Pacific Medical University,Udaipur
877,878,Indira Gandhi Technological and Medical Sciences University,Ziro
878,879,Lakulish Yoga University,Ahmedabad
879,880,Bhabha University,Bhopal
880,881,Manipur International University,Imphal
881,882,State University of Performing and Visual Arts,Rohtak
882,883,Abhilashi University,Chailchowk
883,884,CMJ University,Jorabat
884,885,Sangai International University,Churachandpur
885,886,Sai Tirupati University,Udaipur
886,887,Shri Guru Ram Rai Education Mission,Dehradun ...
887,Un,Manav Rachna University,Faridabad
888,Un,Manav Rachna International Institute of Research and Studies,Faridabad
889,Un,"Sandip University, Sijoul",Sijoul
890,Legend: Un Unranked,+ Add University,
