,#Rank,University,Town
345,346,Bhakta Kavi Narsinh Mehta University,Khadia
346,347,Galgotias University,Noida
347,348,"School of Planning and Architecture, Delhi",New Delhi
348,349,Central University of South Bihar,Patna
349,350,Teerthanker Mahaveer University,Moradabad
350,351,Central University of Tamil Nadu,Thiruvarur
351,352,Shri Mata Vaishno Devi University,Katra
352,353,"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",Mohali
353,354,Sri Venkateswara Institute of Medical Sciences,Tirupati
354,355,Rajiv Gandhi University,Itanagar
355,356,Rajiv Gandhi University of Knowledge Technologies,Hyderabad
356,357,The National University of Advanced Legal Studies,Kochi
357,358,Ramaiah University of Applied Sciences,Bangalore
358,359,Chhattisgarh Swami Vivekananda Technical University,Bhilai
359,360,"PDPM Indian Institute of Information Technology, Design and Manufacturing",Jabalpur
360,361,Adamas University,Barasat
361,362,Assam Agricultural University,Jorhat
362,363,"Indian Institute of Information Technology, Design and Manufacturing",Chennai
363,364,"National Institute of Technology, Meghalaya",Shillong
364,365,Swami Vivekanand Subharti University,Meerut
365,366,Nalanda University,Rajgir
366,367,Rajasthan Technical University Kota,Kota
367,368,Manipur University,Imphal
368,369,Guru Ghasidas Vishwavidyalaya,Bilaspur
369,370,Dev Sanskriti Vishwavidyalaya,Shantikunj
370,371,Bengaluru North University,Kolar
371,372,"Indian Institute of Information Technology, Kottayam",Kottayam
372,373,Tamil Nadu Dr Ambedkar Law University,Chennai
373,374,Central University of Punjab,Bathinda
374,375,VIT Bhopal University,Bhopal
375,376,Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore
376,377,Sikkim University,Tadong
377,378,Lingaya's University,Faridabad
378,379,Sri Venkateswara University,Tirupati
379,380,Sri Sathya Sai Institute of Higher Learning,Anantapur
380,381,"University of Agricultural Sciences, Dharwad",Dharwad
381,382,National Law Institute University,Bhopal
382,383,Bharath Institute of Higher Education and Research,Chennai
383,384,Mahatma Gandhi University of Medical Sciences and Technology,Jaipur
384,385,Quantum University,Roorkee
385,386,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Allahabad
386,387,GLA University,Chaumuhan
387,388,GD Goenka University,Gurgaon
388,389,Kaziranga University,Jorhat
389,390,Gujarat Vidyapith,Ahmedabad ...
390,391,K.R. Mangalam University,Gurgaon
391,392,Binod Bihari Mahto Koyalanchal University,Dhanbad
392,393,Gautam Buddha University,Greater Noida
393,394,KLE Technological University,Hubli
394,395,Anand Agricultural University,Anand
395,396,The Indian Law Institute,New Delhi
396,397,National Law University Odisha,Cuttack
397,398,Kumaun University,Nainital
398,399,DIT University,Dehradun
399,400,Central University of Jharkhand,Ranchi
400,401,National Sanskrit University,Tirupati
401,402,Dharmsinh Desai University,Nadiad
402,403,Dr. Y.S. Parmar University of Horticulture and Forestry,Nauni
403,404,University of Kota,Kota
404,405,Navsari Agricultural University,Navsari ...
405,406,Assam Down Town University,Guwahati
406,407,"Indira Gandhi University, Meerpur",Rewari
407,408,Bidhan Chandra Krishi Viswavidyalaya,Mohanpur
408,409,National Institute of Food Technology Entrepreneurship and Management,Sonipat
409,410,Thiruvalluvar University,Vellore
410,411,Maharishi University,Lucknow
411,412,Homi Bhabha National Institute,Mumbai
412,413,Odisha University of Agriculture and Technology,Bhubaneswar
413,414,Maharshi Dayanand Saraswati University,Ajmer
414,415,"National Institute of Technology, Uttarakhand",Srinagar
415,416,Vinoba Bhave University,Hazaribag
416,417,Sri Sri University,Cuttack
417,418,Pravara Institute of Medical Sciences,Loni
418,419,Vishwakarma University,Pune
419,420,Cluster University of Jammu,Jammu
420,421,Rajiv Gandhi Institute of Petroleum Technology,Raebareli
